id_upz;poblacion_2005;codigo_localidad;nombre_localidad;nombre_upz;area_urbana_2009;poblacion_urbana_2009;densidad_urbana_2009
59.0;40952.0;5.0;USME;ALFONSO LOPEZ;216.493.429.751;54095.0;249.869.014.788
60.0;659.0;5.0;USME;PARQUE ENTRENUBES;382.019.721.793;1948.0;0.0
60.0;659.0;18.0;RAFAEL URIBE URIBE;PARQUE ENTRENUBES;370.197.937.552;;0.0
61.0;7950.0;5.0;USME;CIUDAD USME;925.470.476.509;13496.0;145.828.530.921
62.0;48338.0;6.0;TUNJUELITO;TUNJUELITO;32.724.823.667;57699.0;176.315.694.126
63.0;399.0;19.0;CIUDAD BOLIVAR;EL MOCHUELO;316.734.955.971;1466.0;462.847.555.145
64.0;1118.0;19.0;CIUDAD BOLIVAR;MONTE BLANCO;695.674.376.728;5179.0;744.457.489.488
65.0;58199.0;19.0;CIUDAD BOLIVAR;ARBORIZADORA;306.264.190.866;60752.0;198.364.685.823
66.0;74646.0;19.0;CIUDAD BOLIVAR;SAN FRANCISCO;178.603.384.328;76213.0;426.716.438.139
67.0;153504.0;19.0;CIUDAD BOLIVAR;LUCERO;586.386.549.887;162669.0;277.409.159.592
68.0;43942.0;19.0;CIUDAD BOLIVAR;EL TESORO;210.862.210.964;47624.0;225.853.650.032
69.0;148268.0;19.0;CIUDAD BOLIVAR;ISMAEL PERDOMO;558.606.026.003;163692.0;293.036.581.025
70.0;87775.0;19.0;CIUDAD BOLIVAR;JERUSALEM;537.476.344.439;98693.0;183.622.965.031
71.0;193830.0;11.0;SUBA;TIBABUYES;726.380.148.869;222576.0;306.418.065.453
72.0;82839.0;10.0;ENGATIVA;BOLIVIA;474.504.159.406;86279.0;181.829.807.579
73.0;136527.0;10.0;ENGATIVA;GARCES NAVAS;555.040.743.711;149186.0;268.783.871.617
74.0;118752.0;10.0;ENGATIVA;ENGATIVA;58.763.454.342;130828.0;222.634.971.795
75.0;131655.0;9.0;FONTIBON;FONTIBON;496.457.437.428;137489.0;27.694.015.566
76.0;30005.0;9.0;FONTIBON;FONTIBON SAN PABLO;359.967.843.163;32134.0;892.690.850.317
77.0;31542.0;9.0;FONTIBON;ZONA FRANCA;490.212.344.089;39664.0;809.118.751.869
78.0;13302.0;8.0;KENNEDY;TINTAL NORTE;343.372.626.881;29348.0;854.698.298.655
79.0;55758.0;8.0;KENNEDY;CALANDAIMA;318.934.387.072;68328.0;214.238.422.602
80.0;61954.0;8.0;KENNEDY;CORABASTOS;184.525.478.991;69277.0;375.433.248.453
81.0;72551.0;8.0;KENNEDY;GRAN BRITALIA;179.902.103.852;70904.0;394.125.463.137
82.0;160502.0;8.0;KENNEDY;PATIO BONITO;317.321.661.524;174145.0;548.796.445.738
83.0;12216.0;8.0;KENNEDY;LAS MARGARITAS;147.241.546.489;14786.0;100.420.026.498
84.0;165037.0;7.0;BOSA;BOSA OCCIDENTAL;430.379.853.645;178960.0;415.818.720.334
85.0;211484.0;7.0;BOSA;BOSA CENTRAL;714.656.412.136;221236.0;309.569.740.428
86.0;64288.0;7.0;BOSA;EL PORVENIR;461.032.121.294;73629.0;159.704.707.328
87.0;26624.0;7.0;BOSA;TINTAL SUR;576.903.769.222;42439.0;735.633.952.561
88.0;29898.0;2.0;CHAPINERO;EL REFUGIO;335.978.485.908;30763.0;915.624.103.635
89.0;9415.0;2.0;CHAPINERO;SAN ISIDRO-PATIOS;11.301.823.434;16201.0;143.348.549.857
90.0;19711.0;2.0;CHAPINERO;PARDO RUBIO;285.199.005.156;37191.0;130.403.680.685
91.0;13842.0;3.0;SANTA FE;SAGRADO CORAZON;146.189.273.671;5879.0;40.214.988.777
92.0;22054.0;3.0;SANTA FE;LA MACARENA;858.972.814.617;14350.0;167.060.001.851
93.0;47454.0;3.0;SANTA FE;LAS NIEVES;17.257.386.015;13773.0;798.093.059.287
94.0;22622.0;17.0;LA CANDELARIA;LA CANDELARIA;206.024.323.421;24095.0;116.952.210.302
95.0;86735.0;3.0;SANTA FE;LAS CRUCES;923.683.070.697;23241.0;251.612.276.302
96.0;44891.0;3.0;SANTA FE;LOURDES;200.137.127.152;46301.0;231.346.380.648
97.0;5899.0;2.0;CHAPINERO;CHICO LAGO;422.447.428.769;26291.0;622.349.627.659
98.0;80118.0;12.0;BARRIOS UNIDOS;LOS ALCAZARES;414.026.997.622;82086.0;198.262.433.299
99.0;13261.0;2.0;CHAPINERO;CHAPINERO;15.930.253.068;20282.0;127.317.500.315
100.0;33355.0;13.0;TEUSAQUILLO;GALERIAS;237.568.113.094;34344.0;144.564.855.749
101.0;26797.0;13.0;TEUSAQUILLO;TEUSAQUILLO;235.700.797.363;27316.0;115.892.692.369
102.0;50981.0;14.0;LOS MARTIRES;LA SABANA;450.942.153.879;52197.0;11.575.098.835
103.0;3651.0;12.0;BARRIOS UNIDOS;PARQUE EL SALITRE;165.246.908.484;4141.0;250.594.703.283
104.0;3249.0;13.0;TEUSAQUILLO;PARQUE SIMON BOLIVAR-CAN;398.684.265.835;3404.0;853.808.462.411
105.0;1601.0;10.0;ENGATIVA;JARDIN BOTANICO;161.705.211.764;2464.0;152.376.041.138
106.0;33512.0;13.0;TEUSAQUILLO;LA ESMERALDA;192.878.482.398;33784.0;175.156.915.276
107.0;25931.0;13.0;TEUSAQUILLO;QUINTA PAREDES;173.955.954.056;27099.0;155.780.813.293
108.0;4190.0;16.0;PUENTE ARANDA;ZONA INDUSTRIAL;34.695.352.294;4247.0;122.408.326.165
109.0;14686.0;13.0;TEUSAQUILLO;CIUDAD SALITRE ORIENTAL;180.529.656.927;17944.0;993.964.111.241
110.0;35890.0;9.0;FONTIBON;CIUDAD SALITRE OCCIDENTAL;225.701.253.811;41106.0;182.125.705.134
111.0;12917.0;16.0;PUENTE ARANDA;PUENTE ARANDA;356.447.429.991;14658.0;41.122.473.517
112.0;18061.0;9.0;FONTIBON;GRANJAS DE TECHO;477.255.354.063;22861.0;479.009.817.394
113.0;20854.0;8.0;KENNEDY;BAVARIA;27.722.789.458;20993.0;757.247.030.708
114.0;38386.0;9.0;FONTIBON;MODELIA;261.581.365.518;39410.0;150.660.579.059
115.0;15427.0;9.0;FONTIBON;CAPELLANIA;272.109.155.246;16657.0;612.144.048.771
116.0;12319.0;10.0;ENGATIVA;ALAMOS;200.244.113.699;13641.0;681.218.526.129
117.0;412.0;9.0;FONTIBON;AEROPUERTO EL DORADO;743.536.979.514;835.0;112.301.072.173
;;;;;;;
